timestamps,TP9,AF7,AF8,TP10,Right AUX
1587019718.283,44.434,43.457,35.645,30.762,15.625
1587019718.287,98.633,40.039,33.691,82.031,45.410
1587019718.291,93.262,39.062,38.086,92.773,84.473
1587019718.295,34.180,39.062,41.504,35.645,42.969
1587019718.299,7.812,37.598,41.504,12.695,-13.672
1587019718.303,63.965,31.250,40.527,57.617,15.137
1587019718.307,98.145,29.785,40.039,86.914,46.875
1587019718.311,29.297,34.180,45.410,46.875,8.789
1587019718.315,-8.789,37.109,45.898,6.836,-3.906
1587019718.319,51.270,35.156,40.527,41.016,28.320
1587019718.322,107.422,34.668,37.598,85.449,28.809
1587019718.326,58.105,38.086,40.039,56.152,-10.742
1587019718.330,5.371,38.574,41.992,10.742,-10.254
1587019718.334,50.781,34.668,40.527,28.809,22.949
1587019718.338,91.309,36.133,41.016,70.801,23.926
1587019718.342,52.734,33.691,41.504,55.664,22.949
1587019718.346,4.883,26.855,41.504,14.160,36.133
1587019718.350,23.926,29.297,40.039,21.973,17.090
1587019718.354,96.191,30.273,35.156,78.613,32.227
1587019718.358,106.934,27.344,33.203,100.586,54.688
1587019718.362,51.758,27.832,37.109,58.594,-13.672
1587019718.365,32.227,29.785,39.551,43.457,-37.109
1587019718.369,79.102,28.320,36.133,94.727,17.090
1587019718.373,128.418,30.762,34.180,128.906,58.594
1587019718.377,80.566,37.109,37.598,85.938,64.941
1587019718.381,31.738,37.598,41.504,43.457,56.641
1587019718.385,78.125,34.668,39.062,68.848,19.043
1587019718.389,114.258,32.227,34.668,104.980,41.504
1587019718.393,60.059,36.133,38.574,81.543,42.480
1587019718.397,13.672,41.504,40.527,33.203,37.109
1587019718.401,45.898,39.062,33.691,37.598,53.711
1587019718.405,96.191,38.574,31.738,84.473,21.973
1587019718.408,66.406,41.504,33.203,80.566,44.434
1587019718.412,13.672,41.504,32.227,24.414,60.547
1587019718.416,17.090,40.039,34.180,16.113,18.555
1587019718.420,74.219,34.180,35.156,68.359,12.695
1587019718.424,87.891,33.691,35.645,86.914,30.762
1587019718.428,8.301,39.551,37.109,38.574,0.977
1587019718.432,-17.578,39.062,35.156,6.836,19.531
1587019718.436,43.945,33.203,32.715,49.805,61.035
1587019718.440,81.055,29.785,32.227,83.984,48.340
1587019718.444,34.180,34.668,36.621,43.457,26.367
1587019718.447,-0.977,39.062,39.062,4.395,24.414
1587019718.451,48.828,34.180,35.645,30.762,29.785
1587019718.455,101.562,33.203,32.227,76.660,-2.930
1587019718.459,71.289,35.645,33.691,59.082,20.508
1587019718.463,18.066,37.598,34.668,7.812,33.203
1587019718.467,34.668,36.621,34.180,11.719,-3.418
1587019718.471,83.008,34.668,33.203,63.477,29.297
1587019718.475,86.426,33.203,34.668,66.895,35.645
1587019718.479,11.230,33.203,41.016,21.973,20.508
1587019718.483,-15.625,34.180,40.039,13.184,70.801
1587019718.487,63.965,31.738,35.645,61.035,58.594
1587019718.490,68.848,31.250,36.621,86.426,29.785
1587019718.494,2.930,31.738,35.156,41.016,16.113
1587019718.498,-7.812,31.738,34.668,11.719,53.223
1587019718.502,51.270,33.203,35.645,47.363,70.312
1587019718.506,87.402,32.227,36.133,85.938,83.496
1587019718.510,27.344,37.109,39.062,56.152,50.781
1587019718.514,-16.602,41.016,38.086,3.418,-8.789
1587019718.518,27.344,34.180,35.645,19.043,-8.301
1587019718.522,86.426,34.180,35.156,68.848,18.555
1587019718.526,61.523,37.598,38.086,55.664,4.395
1587019718.530,-0.488,39.551,41.016,5.859,17.578
1587019718.533,14.648,40.527,38.574,5.859,-0.488
1587019718.537,64.453,37.109,38.086,59.570,-0.488
1587019718.541,66.895,35.156,38.086,72.266,100.098
1587019718.545,18.555,39.062,41.016,25.879,74.707
1587019718.549,5.371,40.039,41.016,7.812,-4.883
1587019718.553,66.406,38.086,36.621,51.758,-2.441
1587019718.557,89.355,38.574,36.133,81.055,87.402
1587019718.561,33.203,40.039,38.574,39.062,97.656
1587019718.565,7.812,41.016,37.598,4.883,43.457
1587019718.569,55.664,38.086,34.180,39.551,54.199
1587019718.572,85.449,36.621,35.156,81.543,61.035
1587019718.576,58.105,37.598,37.598,57.129,41.016
1587019718.580,6.836,39.062,38.086,8.789,4.883
1587019718.584,19.043,39.551,34.668,20.996,4.883
1587019718.588,88.867,36.133,32.715,71.777,9.766
1587019718.592,73.242,36.133,35.645,63.477,-2.441
1587019718.596,10.742,39.062,35.645,16.113,4.395
1587019718.600,10.742,37.109,33.203,10.254,33.691
1587019718.604,71.289,34.180,28.809,55.176,21.973
1587019718.608,85.938,35.645,29.297,74.219,-3.906
1587019718.612,25.879,40.039,31.250,24.902,9.766
1587019718.615,18.066,39.551,29.785,2.441,31.738
1587019718.619,77.148,36.133,30.273,51.758,-12.695
1587019718.623,103.516,34.180,31.250,84.961,2.930
1587019718.627,40.527,36.621,33.691,44.922,7.812
1587019718.631,4.883,38.574,33.203,2.441,-12.207
1587019718.635,54.199,37.109,32.715,31.738,-3.418
1587019718.639,97.656,35.156,32.715,78.125,37.109
